| bin |  cnts |             totexp |                     SB | pixsize |          stow_cnts |   exp_ratio |                rad |
|   1 | 16283 | 121720914909.69983 |  3.494153807018092e-08 |     865 |  3325.436348821381 |  0.18294382 | 301.77953962448674 |
|   2 | 10490 |  81421177881.21198 |  3.332928633453372e-08 |     902 | 1824.6301351561333 |  0.20927237 | 301.77953962448674 |
|   3 |  8416 |  71875049697.55199 | 3.0278857748863424e-08 |     866 | 1534.5137283841268 |  0.24103601 | 301.77953962448674 |
|   4 |  9739 |  73640458212.98492 | 3.4126923603587675e-08 |     889 |  1738.347474076486 |  0.23585941 | 301.77953962448674 |
|   5 | 11259 |  77784056172.65744 |  3.745818591016935e-08 |     910 | 1825.1990082288166 |  0.23400909 | 301.77953962448674 |
|   6 | 10333 |  75211309164.38739 |  3.561595672549071e-08 |     870 | 1684.4625450535996 |  0.21789369 | 301.77953962448674 |
|   7 |  7915 |    63669038339.385 | 3.2166167587500466e-08 |     718 | 1410.6068103718007 |  0.24491218 | 333.77953962448674 |
|   8 | 23631 |  211301182977.9281 | 2.8982497923254796e-08 |     910 |  5750.063671751903 |   0.1798626 | 333.77953962448674 |
|   9 | 14212 | 134924023352.25172 |  2.733186826279746e-08 |     917 |  3660.545273565237 |  0.19517347 | 333.77953962448674 |
|  10 |  9281 |  83922636678.21634 | 2.8631761408244457e-08 |     919 | 2281.5814741704417 |  0.20558529 | 333.77953962448674 |
|  11 |  8815 |  78775613971.72113 |   2.89011680432018e-08 |     919 | 1829.4014131431913 |   0.2338248 | 333.77953962448674 |
|  12 |  9153 |  79949605548.94617 | 2.9568270969725905e-08 |     917 | 1911.2098095233123 |  0.23400909 | 333.77953962448674 |
|  13 |  9726 |  79939194875.26962 |   3.14463045841703e-08 |     916 | 2069.1491579067097 |  0.23400909 | 333.77953962448674 |
|  14 |  9145 |  78113755058.83206 | 3.0207910251244384e-08 |     923 | 1798.2960877747719 |  0.21627547 | 333.77953962448674 |
|  15 |  6450 | 64235487702.326294 | 2.6003941542769243e-08 |     735 | 1399.1742023773195 |  0.24691254 | 365.77953962448674 |
|  16 | 23035 | 243149464184.15173 | 2.4459290608537755e-08 |     931 |  6786.124998855352 |  0.17492937 | 365.77953962448674 |
|  17 | 21489 | 211965023684.81894 | 2.6297260975831047e-08 |     938 |  5648.802880462196 |  0.18017963 | 365.77953962448674 |
|  18 | 13436 |  142739947022.7732 | 2.4462674657625346e-08 |     939 | 3602.2498322104866 |  0.18762256 | 365.77953962448674 |
|  19 |  8669 |  90831667387.46515 |   2.49699180657135e-08 |     940 |   2265.72149306744 |  0.20019394 | 365.77953962448674 |
|  20 |  7479 |   78841662116.8873 | 2.4478347838912757e-08 |     938 | 1966.2657744753105 |  0.23346743 | 365.77953962448674 |
|  21 |  6881 |   71077461749.5145 | 2.5016688366549195e-08 |     861 | 1884.2562869698395 |   0.2340091 | 365.77953962448674 |
|  22 |  6855 | 68113727560.734436 | 2.5961686484550545e-08 |     832 |  1764.036742050419 |  0.23311439 | 365.77953962448674 |
|  23 |  9732 | 108047998445.15384 | 2.3293338233447386e-08 |    1306 | 2498.1819051589127 |  0.22929141 | 397.77953962448674 |
|  24 | 19264 | 241052156957.54633 | 2.0585935798385604e-08 |    1021 |  6910.701970906935 |  0.16427788 | 397.77953962448674 |
|  25 | 16695 | 214019849864.35156 | 1.9925740314586292e-08 |    1024 |  5711.543974927591 |  0.18009758 | 397.77953962448674 |
|  26 | 11869 | 161315488639.71918 | 1.8753992527558895e-08 |    1021 |  4184.032441057181 |  0.19565514 | 397.77953962448674 |
|  27 |  7074 |  94383230700.93117 | 1.9235951566879677e-08 |    1026 | 2455.3435636996037 |  0.19521546 | 397.77953962448674 |
|  28 |  6409 |    81085785685.544 |  2.039850709711771e-08 |    1023 | 2141.8962584770925 |   0.2325605 | 397.77953962448674 |
|  29 |  6574 |  82932501458.17282 |  2.049540411808049e-08 |    1026 |  2106.712550807524 |  0.23400909 | 397.77953962448674 |
|  30 |  6920 |  83102411858.39279 |  2.145532994978577e-08 |    1028 |  2164.756386724286 |  0.23375365 | 397.77953962448674 |
|  31 |  7851 | 106212780028.40193 |  1.896006912611466e-08 |    1420 | 2554.3589243428505 |  0.22839157 | 429.77953962448674 |
|  32 | 11474 |  174315856633.0218 |  1.683530149099073e-08 |     938 |  4692.608263388907 |  0.17385754 | 429.77953962448674 |
|  33 |  8537 |  135933218328.0506 | 1.6012796624935638e-08 |     938 | 3474.6193004428196 |  0.18407746 | 429.77953962448674 |
|  34 |  4623 |  76660870647.69011 | 1.5728070781423965e-08 |     939 | 2227.0654271609346 |  0.17085569 | 429.77953962448674 |
|  35 |  4065 |  64337055995.01619 |   1.63065026047253e-08 |     941 | 1689.9428974311995 |  0.21834952 | 429.77953962448674 |
|  36 |  4848 |   73314110961.2663 |  1.708268221010585e-08 |     938 | 1773.2621871919291 |  0.23400909 | 429.77953962448674 |
|  37 |  4924 |  74679218886.41913 |  1.704061076254298e-08 |     940 | 1843.8381971575836 |  0.23400909 | 429.77953962448674 |
|  38 |  4980 |  73787037125.07352 |   1.74320008044451e-08 |     941 | 1963.3129576434112 |  0.23400909 | 429.77953962448674 |
|  39 |  4634 |  65542891310.16185 | 1.8233595853071207e-08 |     940 | 1801.3338707604162 |  0.22742225 | 429.77953962448674 |
|  40 |  3951 |  55791890866.67934 |  1.822209294580668e-08 |     935 | 1440.6310376820857 |  0.19296387 | 429.77953962448674 |
|  41 |  3069 |  48815270344.86024 |  1.635396078397154e-08 |     846 | 1239.6038579524939 |  0.21651505 | 461.77953962448674 |
