| bin |                                                                                                                                       BSCAL |                                                                                                                                  FRAC_ERR |                                                                                                                                                              SCI_EXP |                                                                                                                                                                                                                                              BG_EXP |
|   1 |                             0.9797 1.1792 0.9805 1.1955 1.1878 0.9653 1.1516 1.0361 1.1389 0.989 1.0181 1.1962 1.0323 0.9924 1.1514 0.9889  |                             0.0082 0.0168 0.0107 0.0165 0.011 0.0164 0.0086 0.0161 0.0169 0.0161 0.01 0.0081 0.0157 0.0091 0.0166 0.0097  |                                  147394.0 17919.8 74720.6 18375.4 46847.4 29382.3 89689.9 28659.9 17919.8 29787.3 85002.0 108403.7 30077.7 110545.5 18375.4 95096.6  |                                                   415000.0 240352.59999996 415000.0 240352.59999996 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 415000.0  |
|   2 |                                                 1.1252 1.1792 1.1955 1.1878 1.1516 1.0361 1.1389 1.0181 1.1962 1.0323 1.1427 1.1514 0.9889  |                                                  0.0082 0.0168 0.0165 0.011 0.0086 0.0161 0.0169 0.01 0.0081 0.0157 0.0111 0.0166 0.0097  |                                                           108403.7 17919.8 18375.4 46847.4 89689.9 28659.9 17919.8 85002.0 108403.7 30077.7 46847.4 18375.4 95096.6  |                                                                240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 240352.59999996 415000.0  |
|   3 |                                                                             1.1252 1.1792 1.1955 1.1878 1.1516 1.1389 1.1962 1.1427 1.1514  |                                                                            0.0082 0.0168 0.0165 0.011 0.0086 0.0169 0.0081 0.0111 0.0166  |                                                                                           108403.7 17919.8 18375.4 46847.4 89689.9 17919.8 108403.7 46847.4 18375.4  |                                                                                                    240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996  |
|   4 |                                                                                           1.1252 1.1878 1.1516 1.1389 1.1962 1.1427 1.1514  |                                                                                          0.0082 0.011 0.0086 0.0169 0.0081 0.0111 0.0166  |                                                                                                           108403.7 46847.4 89689.9 17919.8 108403.7 46847.4 18375.4  |                                                                                                                                    240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996  |
|   5 |                                                                                                         1.1252 1.1516 1.1389 1.1427 1.1514  |                                                                                                       0.0082 0.0086 0.0169 0.0111 0.0166  |                                                                                                                            108403.7 89689.9 17919.8 46847.4 18375.4  |                                                                                                                                                                    240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996  |
|   6 |                                                                             1.1141 1.1252 1.1516 1.1127 1.1389 1.1427 1.1665 1.1514 1.1173  |                                                                           0.0083 0.0082 0.0086 0.0173 0.0169 0.0111 0.0111 0.0166 0.0171  |                                                                                           108403.7 108403.7 89689.9 17919.8 17919.8 46847.4 46847.4 18375.4 18375.4  |                                                                                                    240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996  |
|   7 |                                                                                           1.1141 1.1252 1.1516 1.1127 1.1427 1.1665 1.1173  |                                                                                         0.0083 0.0082 0.0086 0.0173 0.0111 0.0111 0.0171  |                                                                                                           108403.7 108403.7 89689.9 17919.8 46847.4 46847.4 18375.4  |                                                                                                                                    240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996 240352.59999996  |
|   8 | 1.1252 0.9797 1.0145 1.1792 0.9805 1.1955 1.1878 0.9653 1.1516 1.0361 1.1389 0.989 1.0181 1.1962 1.0323 0.9924 1.1427 1.0069 1.1514 0.9889  | 0.0082 0.0082 0.0178 0.0168 0.0107 0.0165 0.011 0.0164 0.0086 0.0161 0.0169 0.0161 0.01 0.0081 0.0157 0.0091 0.0111 0.0127 0.0166 0.0097  | 108403.7 147394.0 23662.1 17919.8 74720.6 18375.4 46847.4 29382.3 89689.9 28659.9 17919.8 29787.3 85002.0 108403.7 30077.7 110545.5 46847.4 49260.2 18375.4 95096.6  | 240352.59999996 415000.0 415000.0 240352.59999996 415000.0 240352.59999996 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 415000.0 240352.59999996 415000.0  |
|   9 |                             1.1252 0.9797 0.9805 1.1878 0.9653 1.1516 1.0361 1.1389 0.989 1.0181 1.1962 1.0323 0.9924 1.1427 1.1514 0.9889  |                             0.0082 0.0082 0.0107 0.011 0.0164 0.0086 0.0161 0.0169 0.0161 0.01 0.0081 0.0157 0.0091 0.0111 0.0166 0.0097  |                                 108403.7 147394.0 74720.6 46847.4 29382.3 89689.9 28659.9 17919.8 29787.3 85002.0 108403.7 30077.7 110545.5 46847.4 18375.4 95096.6  |                                                   240352.59999996 415000.0 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 415000.0 415000.0 240352.59999996 240352.59999996 415000.0  |
|  10 |                                                               1.1252 1.1878 1.1516 1.0361 1.1389 1.0181 1.1962 1.0323 1.1427 1.1514 0.9889  |                                                                0.0082 0.011 0.0086 0.0161 0.0169 0.01 0.0081 0.0157 0.0111 0.0166 0.0097  |                                                                           108403.7 46847.4 89689.9 28659.9 17919.8 85002.0 108403.7 30077.7 46847.4 18375.4 95096.6  |                                                                                                240352.59999996 240352.59999996 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 415000.0 240352.59999996 240352.59999996 415000.0  |
